datetime,tempmax,tempmin,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,moonphase,weathercode,rain_sum,precipitation_hours,windspeed_10m_max,et0_fao_evapotranspiration,river_discharge
2013-01-01,0.1929824561403508,0.21138211382113817,0.3134920634920635,0.6074188562596601,0.0,0.0,0.0,0.04988399071925753,0.5776726057906458,0.7386759581881535,0.0,0.09090909090909091,0.5013525698827773,0.6428571428571429,0.046153846153846156,0.0,0.0,0.12288135593220342,0.295638126009693,0.01292407108239095
2013-01-02,0.23684210526315796,0.28861788617886175,0.36111111111111105,0.6074188562596601,0.0,0.0,0.0,0.07076566125290024,0.565423162583519,0.7282229965156759,0.0,0.11616161616161616,0.5157799819657349,0.6836734693877552,0.03076923076923077,0.0,0.0,0.10169491525423732,0.3166397415185783,0.01292407108239095
2013-01-03,0.16228070175438603,0.3130081300813008,0.41666666666666663,0.7125193199381763,0.0,0.0,0.0,0.09164733178654294,0.6185968819599109,0.7735191637630621,0.098,0.16666666666666666,0.3769161406672678,0.7142857142857143,0.03076923076923077,0.0,0.0,0.10169491525423732,0.3247172859450727,0.012520193861066238
2013-01-04,0.25877192982456143,0.4065040650406504,0.44444444444444453,0.689335394126739,0.0,0.0,0.0,0.037122969837587005,0.8947661469933186,0.7839721254355396,0.14800000000000002,0.16666666666666666,0.46919146378118426,0.7551020408163266,0.015384615384615385,0.0,0.0,0.15677966101694915,0.3004846526655896,0.0117124394184168
2013-01-05,0.2149122807017545,0.3414634146341463,0.3571428571428571,0.5950540958268935,0.0,0.0,0.0,0.03364269141531323,0.6948775055679288,0.7038327526132377,0.01,0.1414141414141414,0.4773068830778479,0.7653061224489797,0.015384615384615385,0.0,0.0,0.13983050847457631,0.37156704361873993,0.010904684975767374
2013-01-06,0.20175438596491224,0.19105691056910565,0.3134920634920635,0.6166924265842351,0.0,0.0,0.0,0.04640371229698376,0.6525612472160357,0.7491289198606239,0.0,0.1414141414141414,0.46919146378118426,0.826530612244898,0.015384615384615385,0.0,0.0,0.04661016949152544,0.3747980613893377,0.010904684975767374
2013-01-07,0.14912280701754388,0.2154471544715447,0.2777777777777778,0.6151468315301394,0.0,0.0,0.0,0.06728538283062643,0.69543429844098,0.7665505226480818,0.127,0.1313131313131313,0.4583709047189661,0.8571428571428571,0.046153846153846156,0.0,0.0,0.16101694915254242,0.32794830371567046,0.010500807754442655
2013-01-08,0.02631578947368418,0.14227642276422767,0.11111111111111113,0.44976816074188575,0.0,0.0,0.0,0.06728538283062643,0.7477728285077951,0.7944250871080101,0.114,0.11616161616161616,0.5220919747520288,0.8979591836734694,0.0,0.0,0.0,0.16101694915254242,0.3602584814216478,0.009693053311793223
2013-01-09,0.03508771929824561,0.04878048780487804,0.10317460317460317,0.5718701700154563,0.0,0.0,0.0,0.06728538283062643,0.654510022271715,0.8153310104529581,0.028999999999999998,0.05555555555555556,0.5671776375112715,0.9285714285714286,0.015384615384615385,0.0,0.0,0.09745762711864411,0.35218093699515346,0.009693053311793223
2013-01-10,0.013157894736842146,0.04471544715447154,0.11904761904761901,0.581143740340031,0.0,0.0,0.0,0.05452436194895591,0.6316815144766147,0.7979094076655002,0.066,0.08585858585858586,0.468590321611061,0.9693877551020408,0.046153846153846156,0.0,0.0,0.0635593220338983,0.29725363489499185,0.009289176090468504
2013-01-11,0.030701754385965008,0.08943089430894308,0.17063492063492067,0.6012364760432767,0.0,0.0,0.0,0.05452436194895591,0.5860244988864143,0.8118466898954679,0.040999999999999995,0.03030303030303031,0.45326119627291855,1.0,0.046153846153846156,0.0,0.0,0.09322033898305085,0.2067851373182552,0.009289176090468504
2013-01-12,0.14035087719298256,0.14227642276422767,0.242063492063492,0.608964451313756,0.0,0.0,0.0,0.04640371229698376,0.5974387527839644,0.8048780487804876,0.021,0.10606060606060605,0.4887285843101894,0.0,0.0,0.0,0.0,0.15254237288135594,0.3747980613893377,0.008481421647819072
2013-01-13,0.1842105263157896,0.1138211382113821,0.2698412698412699,0.581143740340031,0.0,0.0,0.0,0.05800464037122971,0.566815144766147,0.7491289198606239,0.0,0.1313131313131313,0.5085662759242561,0.05102040816326531,0.0,0.0,0.0,0.0635593220338983,0.3651050080775444,0.008077544426494353
2013-01-14,0.24122807017543857,0.23577235772357721,0.31746031746031744,0.5780525502318394,0.0,0.0,0.0,0.05800464037122971,0.33658129175946544,0.7491289198606239,0.0,0.15656565656565655,0.5106702735196874,0.0816326530612245,0.015384615384615385,0.0,0.0,0.12711864406779663,0.3602584814216478,0.008077544426494353
2013-01-15,0.2543859649122806,0.2967479674796748,0.3214285714285714,0.5255023183925813,0.0,0.0,0.0,0.03364269141531323,0.060690423162583516,0.8013937282229904,0.0,0.15656565656565655,0.5422302374511572,0.11224489795918367,0.0,0.0,0.0,0.12711864406779663,0.3764135702746365,0.008077544426494353
2013-01-16,0.2894736842105263,0.2154471544715447,0.33333333333333337,0.5146831530139104,0.0,0.0,0.0,0.05800464037122971,0.27143652561247217,0.8397212543553962,0.13699999999999998,0.15656565656565655,0.5220919747520288,0.14285714285714288,0.015384615384615385,0.0,0.0,0.13135593220338984,0.39418416801292405,0.008077544426494353
2013-01-17,0.32894736842105243,0.22357723577235775,0.3849206349206349,0.5965996908809894,0.0,0.0,0.0,0.05800464037122971,0.16425389755011138,0.8641114982578415,0.787,0.1313131313131313,0.4956417192666065,0.1836734693877551,0.015384615384615385,0.0,0.0,0.11440677966101695,0.3861066235864297,0.008077544426494353
